评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
关注了这个up知道了我们中国人很多传统的手艺，真是长见识了,2017-11-02 21:31:24,5,评论,关注了这个up知道了我们中国人很多传统的手艺，真是长见识了,0.9999
当了这个UP主认识了你们这些可爱的粉丝，我也是长见识了,2017-11-02 21:49:34,6,回复,当了这个UP主认识了你们这些可爱的粉丝，我也是长见识了,0.0014
回复 @匠仓TV :噫 会撩粉丝的up  关注了关注了,2017-11-02 22:25:16,6,回复,回复 @匠仓TV :噫 会撩粉丝的up 关注了,0.9316
真的真的突然眼眶就湿了,2018-11-03 23:43:04,5,回复,真的突然眼眶就湿了,0.0636
好...还能说什么...失望？失落？还是心凉？,2017-11-02 21:29:26,6,评论,好.还能说什么.失望？失落？还是心凉？,0.9995
不用这样。。。想想蹴鞠是咱们先搞的。。。男足不也。。。保持耐心，信心，祝福，一起加油！,2017-11-02 21:33:42,6,回复,不用这样。想蹴鞠是咱们先搞的。男足不也。保持耐心，信心，祝福，一起加油！,0.9997
回复 @匠仓TV:qwq好,2017-11-02 21:38:58,6,回复,回复 @匠仓TV:qwq好,0.9755
我？？？读着秒抢沙发，每次点进来发现地板都没了？？？,2017-11-02 21:28:42,6,评论,我？读着秒抢沙发，每次点进来发现地板都没了？,0.0033
一个毫无尊严的UP主,2017-11-02 21:28:52,6,回复,一个毫无尊严的UP主,0.0162
回复 @匠仓TV :PS:本期视频有福利~关注微信公众号 匠仓TV  微博@匠仓  ，有机会获得大漆玲珑小葫芦哦~没人来小编自己偷偷抱走了╮(￣▽￣)╭,2017-11-02 21:40:48,6,回复,回复 @匠仓TV :PS:本期视频有福利~关注微信公众号 匠仓TV 微博@匠仓 ，有机会获得大漆玲珑小葫芦哦~没人来小编自己偷抱走了╮(￣▽￣)╭,0.9986
up主的视频里的匠人好像大部分都是闽南人唉，感觉好亲切(｡･ω･｡)然而我是夹杂闽南地区里的客家人，虽然会讲闽南话,2017-11-02 21:41:18,6,回复,up主的视频里的匠人好像大部分都是闽南人唉，感觉好亲切(｡･ω･｡)然而我是夹杂闽南地区里的客家人，虽然会讲闽南话,0.0018
emmmmm，基本上的人都对生漆过敏。有些东西固然有人继承很好，但别总是说没人继承很难受……一面说着没有人继承发扬很苦恼，那你怎么自己不去做这件事？看到别人胳膊上一堆红点，半夜采漆树的采漆人很危险，冷藏猪血和漆的时候很臭，做漆器很难又很苦的时候刷句“心疼qwq”……(;¬_¬)那还真是很棒棒哦。,2017-11-03 07:51:37,6,评论,em，基本上的人都对生漆过敏。有些东西固然有人继承很好，但别总是说没人继承很难受…一面说着没有人继承发扬很苦恼，那你怎么自己不去做这件事？看到别人胳膊上一堆红点，半夜采漆树的采漆人很危险，冷藏猪血和漆的时候很臭，做漆器很难又很苦的时候刷句“心疼qwq”…(;¬_¬)那还真是很棒哦。,0.0015
反正我这种闻过几万只鸭的鸭屎的人都嫌弃猪血+漆的味道(;¬_¬)真是臭到窒息。,2017-11-03 08:01:10,6,回复,反正我这种闻过几万只鸭的鸭屎的人都嫌弃猪血+漆的味道(;¬_¬)真是臭到窒息。,0.0024
但是，真的狠惊艳。太美了。,2017-11-03 17:21:56,6,回复,但是，真的狠惊艳。太美了。,0.8863
回复 @一代赌神-李清照:精雕出细活嘛。但是确实做起来难也累。,2017-11-03 21:18:42,6,回复,回复 @一代赌神-李清照:精雕出细活嘛。但是确实做起来难也累。,0.0048
