评论内容,评论时间,评论人等级,评论类型,评论内容-新,情感分值
一边是缺人传承，一边是想学没门路，这就很尴尬。,2022-02-09 14:25:08,5,评论,一边是缺人传承，一边是想学没门路，这就很尴尬。,0.0015
还有一边是学了可能没出路，这个学太耗时间了[笑哭],2022-02-09 21:50:33,5,回复,还有一边是学了可能没出路，这个学太耗时间了,0.9951
可能别人这个技艺也是什么家族或地方技艺不愿意外传。,2022-02-09 23:22:42,6,回复,可能别人这个技艺也是什么家族或地方技艺不愿意外传。,0.0048
回复 @優々 :你说个鬼别人都愿意传的，只是马上赚不了钱，很多人都不学了。,2022-02-10 20:08:58,4,回复,回复 @優々 :你说个鬼别人都愿意传的，只是马上赚不了钱，很多人都不学了。,0.9997
有些东西不是想学就能学到的，如果被安排进学校，我想还是有很多小孩子，大孩子愿意学的，其实我也想学哈哈啊哈哈哈哈哈,2022-02-07 10:08:59,6,评论,有些东西不是想学就能学到的，如果被安排进学校，我想还是有很多小孩子，大孩子愿意学的，其实我也想学哈啊哈,0.0018
哈哈我也是，从小喜欢传统的东西，相声京剧什么的不过小时候没有门路没地方学给耽误了,2022-02-07 12:22:05,5,回复,哈我也是，从小喜欢传统的东西，相声京剧什么的不过小时候没有门路没地方学给耽误了,0.9999
我们这里小学有丝绫堆绣，可惜不让家长学[笑哭][笑哭]我家娃儿不想学[喜极而泣][喜极而泣],2022-02-07 14:51:49,4,回复,我们这里小学有丝绫堆绣，可惜不让家长学,0.9999
回复 @WJR睿 :我小时候住的地方有个戏班子天天唱戏，我天天听，还总是跑到戏台前好奇幕后会是怎么样的，就这样一段时间，我对唱戏产生很大的兴趣，就跟我妈说我想学这个，我妈发了好一通火，还打击我就我这嗓子还想学人家唱戏，给我伤心自卑了好久……,2022-02-09 01:28:14,6,回复,回复 @WJR睿 :我小时候住的地方有个戏班子天唱戏，我天听，还总是跑到戏台前好奇幕后会是怎么样的，就这样一段时间，我对唱戏产生很大的兴趣，就跟我妈说我想学这个，我妈发了好一通火，还打击我就我这嗓子还想学人家唱戏，给我伤心自卑了好久…,0.0018
普通人也学不到,2022-02-06 21:35:11,6,评论,普通人也学不到,0.0767
可以去监狱学学一些非遗技艺[滑稽],2022-02-09 08:40:10,4,回复,可以去监狱学一些非遗技艺,0.9997
回复 @腻子迷 :哈哈哈，是的，很多手工艺品都是放监狱做，磨练,2022-02-09 11:16:17,5,回复,回复 @腻子迷 :哈，是的，很多手工艺品都是放监狱做，磨练,0.0034
我从小就想学，但是普通小市民哪里来的途径呢。。。,2022-02-09 11:47:08,5,评论,我从小就想学，但是普通小市民哪里来的途径呢。,0.9998
原来没有，原来甚至可能连知道这些的途径都没有。现在如果真想学，找这方面相关的up主、博主、店主，直接联系或者找上门都可以（还没有手机的年代，就有人打听消息直接找上门的）。学这个主要问题是，要一定天分（包括刻苦、审美等各方面），最重要的是至少以年计的时间里，你没有收入，还不能保证你学会了就一定有收入。,2022-02-11 17:59:53,5,回复,原来没有，原来甚至可能连知道这些的途径都没有。现在如果真想学，找这方面相关的up主、博主、店主，直接联系或者找上门都可以（还没有手机的年代，就有人打听消息直接找上门的）。学这个主要问题是，要一定天分（包括刻苦、审美等各方面），最重要的是至少以年计的时间里，你没有收入，还不能保证你学会了就一定有收入。,0.005
回复 @池上翠微 :主要是坚持,2022-02-11 21:41:18,5,回复,回复 @池上翠微 :主要是坚持,0.0573
那个博物馆本身也是工作室，也开课的，师傅全年应该都在,2022-02-11 22:43:53,4,回复,那个博物馆本身也是工作室，也开课的，师傅全年应该都在,0.9997
有的学很好啊，普通人想学都找不到门,2022-02-07 14:23:42,5,评论,有的学很好啊，普通人想学都找不到门,0.9999
回复 @bili_58357112930 :国家非物质文化遗产网站有 传承人的名录。自己去找。你先确定，你有没有那个耐心去学这玩意，别觉得很简单。,2022-02-10 11:14:18,5,回复,回复 @bili_5835712930 :国家非物质文化遗产网站有 传承人的名录。自己去找。你先确定，你有没有那个耐心去学这玩意，别觉得很简单。,0.0026
回复 @我养了叽兔叽 :别说，人家还真看不上我们，我现在在景德镇工作有一段时间了，的确有挺多瓷器大佬在这边，笑死，连面都见不到，只能在路边的公交站台广告上见他们，还是我们老板要订大单的时候才见过一次。[辣眼睛],2022-02-10 23:26:12,3,回复,回复 @我养了叽兔叽 :别说，人家还真看不上我们，我现在景德镇工作有一段时间了，的确有挺多瓷器大佬在这边，笑死，连面都见不到，只能在路边的公交站台广告上见他们，还是我们老板要订大单的时候才见过一次。,0.0014
