comment,contentposprob,contentnegprob,contentconfi,contentsenti
"('我帮你艾特人民日报你艾特的都没有账号人民日报人民日报人民日报',)",0.232886,0.767114,0.482476,0
"('监控呢',)",0.136749,0.863251,0.696114,0
"('不给家长看遗体和监控就尼玛离谱',)",6.50856e-05,0.999935,0.999855,0
"('凶手该不会是领导儿子吧',)",0.00258766,0.997412,0.99425,0
"('把家长拒之门外等待保险理赔',)",0.0969181,0.903082,0.784626,0
"('没有任何人想看到任何学校挂出这样的公告今天谣言满天我还给朋友说吃瓜要谨慎网络有太多翻转前例我们现在无非是希望学校先从人性关怀角度陪伴父母的这样的意外失去请一定要找到真实原因配合政府警方媒体尽快把真相调查通报更重要的要把之后任何类似的可能有力地扼杀在萌芽中',)",0.00927748,0.990722,0.979383,0
"('死亡原因都不说你们想干嘛',)",0.000295707,0.999704,0.999343,0
"('卧槽死得不明不白谁还敢读你们学校',)",6.08882e-06,0.999994,0.999986,0
"('作为四十九中出来的孩子很高兴查清了事情真相事情一爆出的时候四十九中的同学是坚决不相信的因为我们是真正经历过的人我们是最了解的人学校的校风真的很淳朴老师们超级尽职尽责的但是网友对学校就像对一个人一样你们只通过一些言语就给学校定了性欢迎报考成都49中我永远爱49中',)",0.997205,0.00279448,0.99379,2
"('评论里面骂的人有几个出来道歉了呢人家学校的老师同学承受多大的心理压力呢网暴别人很舒服吗',)",0.00345836,0.996542,0.992315,0
"('楼道坠落≠高空坠落之前跟小孩母亲说楼道坠落现在为什么改口径误导说是高空坠落',)",0.114533,0.885467,0.745482,0
"('永远爱49祝母校越来越好网络舆论应严加管制网络暴力应该引起重视针对这个事情学校最应该反思的是学生心理化教育的问题我们学校发生的这个事情也是普遍存在学校中的一个问题只不过这次成为了一个典型案例被大众所关注希望那些人真的能理智做到不知全貌不予置评不要听风就是雨',)",0.0451951,0.954805,0.899566,0
"('沃日删评真的是又不要脸又不要命',)",0.000367012,0.999633,0.999184,0
"('对不起祝贵校越来越好也要好好反思一下我自己',)",0.0671025,0.932898,0.850883,0
"('我已经迫不及待的想看热评这几个人尴尬的处境了',)",0.704934,0.295066,0.344297,2
"('我是49中毕业的初中高中都在49中是一步一步看着学校发展的越来越好从来没有想过自己的母校会被推到舆论浪尖上从一开始到处都是谩骂到现在有人来道歉有时候看着就突然想哭我始终爱我的母校祝学弟学妹们金榜题名大家都要加油求真求实至善至美49中会越来越好',)",0.998635,0.00136539,0.996966,2
"('来道歉了抱歉之前骂了贵校以后再也不只听一方说辞而随意站队了',)",0.00215089,0.997849,0.99522,0
"('之前胡说八道的跟你道歉慰问那个班主任对不起',)",0.0038065,0.996193,0.991541,0
"('共青团中央紫光阁中国政府网国务院公报光明日报国台办发布国务院公报健康中国科技日报联合国强国论坛全国人大人民日报人民网世界卫生组织央视频央视新闻中国新闻社中国政府网中国青年报中国之声胡锡进环球网监控',)",0.822828,0.177171,0.606285,2
"('又删我评论那我再来还有没有法律了这共青团中央紫光阁中国政府网光明日报国台办发布国务院公报健康中国科技日报联合国强国论坛全国人大人民日报人民网世界卫生组织央视频央视新闻中国新闻社中国政府网中国青年报中国之声胡锡进环球网监控',)",0.000601727,0.999398,0.998663,0
"('对不起虽然事件发生时我没有在网上说过贵校但是我在心里是认为您们的做法存在问题的现在得知真相后我表以深深的歉意',)",0.0171373,0.982863,0.961917,0
"('坠落',)",0.978196,0.0218038,0.951547,2
"('快给学校道个歉吧人家自始至终都是受委屈的孩子死了老师比你们难过别死杠了恶心死我了非要我唾弃你们的灵魂吗猜忌的心无耻的言论没有判断力的大脑就一张脸最值钱道个歉也找不到',)",2.31492e-05,0.999977,0.999949,0
"('这种学校还有人敢去',)",0.0182487,0.981751,0.959447,0
"('有人说官博真有勇气居然不关闭评论我说官博就是想对比下当真相出来后这些个骂学校骂老师的“正义之师”会有多少道歉的没几个的他们发觉不符合内心居然都不出声了或者又喊“我们是被骗了但我们是善良的”于是默默退去等待着下一次舆论并继续当着“正义之师”继续问着政府呐喊要真相',)",0.00088536,0.999115,0.998033,0
"('《最优质的杀人学校》',)",0.992138,0.0078616,0.98253,2
"('傻dei你一个学校有啥事就说怕啥敢做就敢当行吗学校都是一个教人读书做人的地方你连这点素质都没有你配吗人家母亲已经都这样了就别再让她伤心了可以吗',)",1.03325e-05,0.99999,0.999977,0
"('求真相共青团中央紫光阁中国政府网国务院公报光明日报国台办发布国务院公报健康中国科技日报联合国强国论坛全国人大人民日报人民网世界卫生组织央视频央视新闻中国新闻社中国政府网中国青年报中国之声胡锡进环球网监控',)",0.454702,0.545298,0.0940358,1
"('作为18年毕业的49中学生在事情初期结合我在学校与老师相处的6年时光我并不相信学校会做出这些事情这几天我们毕业生们也在针对网上的那些所谓的“证据事实”阐述我们的观点但是换来的却是私信的乱骂更有女生遭到了人生攻击如今真相大白不求对我们道歉但求为学校以及学校老师正名',)",0.108794,0.891206,0.758235,0
"('好惨一学校好惨一群老师好惨一群高三学生',)",0.0499703,0.95003,0.888955,0
"('知行楼是教师办公楼学校到底是在隐瞒什么跟家长说是楼道声明又说是高空别让热度降下来',)",0.014106,0.985894,0.968654,0
"('监控就坏了坠楼那一段真的假的',)",0.00185423,0.998146,0.995879,0
"('对不起来道歉了前几天应该是被有心人给带节奏了造成了你们学校“只手遮天”的印象对不起希望你们学校越来越好～也要很重视学生的心理健康',)",0.0326367,0.967363,0.927474,0
"('学校名声已经臭了',)",0.000420251,0.99958,0.999066,0
"('从始至终就很相信49中不仅因为是刚毕业的母校还相信学校的老师和领导终于等到了真相大白的一天49中一定会越来越好辛苦了学校的大家',)",0.999914,8.64226e-05,0.999808,2
"('不真不实非善非美',)",0.0476413,0.952359,0.89413,0
"('键盘侠虽然我听信一面之词到处攻击政府学校老师但是这一定不是我的错一定是因为他们不够透明不够及时我能有什么错呢不过是想伸张正义罢了啥?我伸错了?正义人士的事能有错吗我没错下次还敢',)",0.885978,0.114022,0.746618,2
"('天啊这让父母怎么接受得了',)",0.0180615,0.981939,0.959863,0
"('我是49中毕业生在49待了6年我所遇到的老师都是很认真负责的老师也遇到了我此生要感激一辈子的良师然而前两天看到一边倒的舆论攻击学校老师看到以前教自己的万老师被污蔑看到老师被打的视频真的很心痛但愿49中继续发扬传统创造奇迹所有学弟学妹们中考顺利高考顺利金榜题名蟾宫折桂',)",0.987544,0.0124558,0.97232,2
"('也算是保护那个女孩子了学校顶了风头撑住啊高考在即希望那个女孩子不被影响',)",0.979805,0.0201949,0.955122,2
"('这样的学校能培养出什么',)",0.237641,0.762359,0.471909,0
"('如果是因为校园暴力我将会诅咒所有隐瞒人员',)",0.00449332,0.995507,0.990015,0
"('为什么删我评论你在掩盖什么',)",0.000240024,0.99976,0.999467,0
"('为什么不能看监控还不准家长进入还让学生三缄其口',)",0.000547673,0.999452,0.998783,0
"('今天真相大白了作为49中毕业生清楚知道49中是什么样的学校老师都很用心负责这几天网上的谩骂和谣言看了真的很难受网络时代真相更常常落后于舆论但它总会到来49中以后会更好的希望楼里造谣的无端揣测的人给学校一个应有的道歉',)",0.54292,0.45708,0.141605,1
"('你这公告发的有水平几点报的警和喊的救护车救护车几点到的几点通知的父母监控哪去了',)",0.000474817,0.999525,0.998945,0
"('让你们和学生委屈了三天抱歉祝大家健健康康快快乐乐的',)",0.41326,0.58674,0.0816442,0
"('恭喜你们成为‘名校’了',)",0.979702,0.0202981,0.954893,2
"('18点40这个时间已经不算模糊时间了你咋知道是1840左右监控时间写的吗',)",0.0150382,0.984962,0.966582,0
"('抱歉之前听信谣言指责辱骂贵校祝贵校越来越好愿贵校教师学生能早日恢复正常生活在此我为我的过激行为道歉',)",0.138576,0.861424,0.692052,0
"('六点四十坠楼八点半救护车到九点通知监护人拒绝家长进入拒绝提供监控',)",0.00756202,0.992438,0.983195,0
"('热评里的人好奇怪明明追着要真相的是你们为什么今天真相大白却没有几个转发甚至点个赞你们是都不看新闻吗',)",0.00321296,0.996787,0.99286,0
"('虽然我道歉了但我下次还是得躲在背后敲键盘不为别的就因为敲键盘不费力还能伸张我内心所谓的正义这不就是在座的网络警察',)",0.0784095,0.921591,0.825757,0
"('仅仅一所高中而已后面的保护伞是谁',)",0.00296933,0.997031,0.993401,0
"('共青团中央紫光阁中国政府网国务院公报光明日报国台办发布国务院公报健康中国科技日报联合国强国论坛全国人大人民日报人民网世界卫生组织央视频央视新闻中国新闻社中国政府网中国青年报中国之声胡锡进环球网监控',)",0.822828,0.177172,0.606285,2
"('当初被带节奏的现在道歉就是了某些马后炮也差不多得了前几天也没见你们有反对的声音现在倒好一个个的都装理智了',)",0.0615437,0.938456,0.863236,0
"('现在真相大白了随手点进前排几个“正义”网友的主页大部分可没转发最新的报道',)",0.262451,0.737549,0.416776,0
"('好家伙道歉说虚伪搞笑不道歉又说人家没心有些人真牛逼啊',)",0.00342682,0.996573,0.992385,0
"('请还原真相',)",0.0384822,0.961518,0.914484,0
