,评论内容
0,我帮你艾特人民日报，你艾特的都没有账号。@人民日报 @人民日报 @人民日报
1,监控呢？
2,不给家长看遗体和监控就尼玛离谱
3,凶手，该不会是，领导，儿子，吧
4,把家长拒之门外？等待保险理赔？
5,没有任何人想看到任何学校挂出这样的公告。今天谣言满天我还给朋友说吃瓜要谨慎，网络有太多翻转前例。我们现在无非是希望学校先从人性关怀角度陪伴父母的，这样的意外失去请一定要找到真实原因，配合政府，警方，媒体…尽快把真相调查通报，更重要的，要把之后任何类似的可能有力地扼杀在萌芽中！
6,死亡原因都不说，你们想干嘛？？
7,卧槽！死得不明不白。谁还敢读你们学校
8,作为四十九中出来的孩子，很高兴查清了事情真相 ，事情一爆出的时候，四十九中的同学是坚决不相信的，因为我们是真正经历过的人，我们是最了解的人，学校的校风真的很淳朴，老师们超级尽职尽责的。但是网友对学校就像对一个人一样，你们只通过一些言语就给学校定了性。 欢迎报考成都49中我永远爱49中！
9,评论里面骂的人有几个出来道歉了呢？人家学校的老师同学承受多大的心理压力呢？网暴别人很舒服吗
10,楼道坠落≠高空坠落！ 之前跟小孩母亲说楼道坠落，现在为什么改口径误导说是高空坠落！！！
11,永远爱49祝母校越来越好网络舆论应严加管制，网络暴力应该引起重视。针对这个事情，学校最应该反思的是学生心理化教育的问题。我们学校发生的这个事情也是普遍存在学校中的一个问题，只不过这次成为了一个典型案例被大众所关注。希望那些人真的能理智做到不知全貌，不予置评，不要听风就是雨！
12,沃日，删评，真的是又不要脸又不要命？
13,对不起，祝贵校越来越好，也要好好反思一下我自己
14,我已经迫不及待的想看热评这几个人尴尬的处境了
15,我是49中毕业的，初中高中都在49中，是一步一步看着学校发展的越来越好，从来没有想过自己的母校会被推到舆论浪尖上，从一开始到处都是谩骂，到现在有人来道歉，有时候看着就突然想哭，我始终爱我的母校！ 祝学弟学妹们金榜题名，大家都要加油！求真求实，至善至美，49中会越来越好！
16,来道歉了，抱歉之前骂了贵校，以后再也不只听一方说辞而随意站队了
17,之前胡说八道的跟你道歉！慰问那个班主任，，，，对不起
18,@共青团中央 @紫光阁  @中国政府网 @国务院公报@光明日报 @国台办发布 @国务院公报 @健康中国 @科技日报 @联合国   @强国论坛 @全国人大 @人民日报 @人民网 @世界卫生组织 @央视频 @央视新闻 @中国新闻社 @中国政府网 @中国青年报 @中国之声@胡锡进@环球网监控
