,word,count
0,环球,83
1,影城,66
2,北京,40
3,不错,22
4,值得,18
5,体验,16
6,优速通,15
7,好玩,15
8,内测,14
9,项目,13
10,真的,10
11,攻略,9
12,终于,8
13,打卡,8
14,度假区,8
15,园区,8
16,优速,8
17,游玩,7
18,排队,7
19,工作日,7
20,携程,7
21,朋友,6
22,挺好玩,6
23,去过,6
24,期间,6
25,一去,5
26,期待,5
27,乐园,5
28,景点,5
29,开园,5
30,有幸,5
31,用心,5
32,超级,5
33,通真香,5
34,景区,4
35,开心,4
36,北京市,4
37,国庆,4
38,适合,4
39,试营业,4
40,入园,4
41,服务,4
42,游乐园,4
43,场景,4
44,设计,4
45,买票,4
46,大阪,4
47,二刷,4
48,地方,4
49,周末,3
50,期待已久,3
51,邀请,3
52,参加,3
53,万众,3
54,肯定,3
55,全国,3
56,整体,3
57,哈利波,3
58,总体,3
59,感觉,3
60,门票,3
61,迪士尼,3
62,选择,3
63,国内,3
64,溜达,3
65,玩儿,3
66,开业,3
67,节假日,2
68,交通,2
69,推荐,2
70,家门口,2
71,环影,2
72,游览,2
73,幸运,2
74,试运行,2
75,小时,2
76,机会,2
77,城内,2
78,周一,2
79,美国,2
80,房间,2
81,周六,2
82,环境,2
83,生日,2
84,霸天虎,2
85,过山车,2
86,不虚此行,2
87,当天,2
88,特色,2
89,试运营,2
90,感谢,2
91,大雪,2
92,功夫,2
93,熊猫,2
94,周四,2
95,还好,2
96,周日,2
97,沉浸,2
98,很棒,2
99,成人,2
100,强烈推荐,2
101,地铁,2
102,游乐,2
103,听说,2
104,完美,2
105,安排,2
106,热门,2
107,早上,2
108,想象,2
109,不用,2
110,参与,2
111,荣幸,2
112,大道,2
113,酒店,2
114,干净,2
115,评价,2
116,假期,2
117,好玩儿,2
118,失望,2
119,主题乐园,2
120,十一,2
121,必玩,2
122,下雪天,2
123,天气,2
124,七点,1
125,前到,1
126,检票口,1
127,指数,1
128,发出,1
129,早入园,1
130,起点,1
131,阶段,1
132,东西,1
133,评测,1
134,感恩,1
135,参考,1
136,一分钱,1
137,拥有,1
138,两张,1
139,景色,1
140,包含,1
141,七大,1
142,主题,1
143,人多到,1
144,不行,1
145,好看,1
146,进门,1
147,体会,1
148,设计者,1
149,爱心,1
150,介绍,1
151,赘述,1
152,奥兰多,1
153,月份,1
154,明天,1
155,对外,1
156,营业,1
157,规模,1
158,很大,1
159,开放,1
160,喧嚣,1
161,主题鲜明,1
162,两个,1
163,正好,1
164,赶上,1
165,老婆,1
166,快到,1
167,重点,1
168,位于,1
169,通州区,1
170,东六环,1
171,京哈,1
172,高速公路,1
173,交叉口,1
174,西北角,1
175,永远,1
176,滴神,1
177,总算,1
178,致命,1
179,开店,1
180,太爽,1
181,国庆节,1
182,昨天,1
183,我大,1
184,好莱坞,1
185,赠票,1
186,不同于,1
187,游乐场,1
188,全新,1
189,顶尖,1
190,孩子,1
191,变形金刚,1
192,火种,1
193,争夺战,1
194,中国,1
195,平日,1
196,天凉,1
197,淡季,1
198,不淡,1
199,喜欢,1
200,太累,1
201,身份证,1
202,诸多,1
203,购物,1
204,第一次,1
205,有人,1
206,团建,1
207,不二,1
208,特效,1
209,包括,1
210,盖世之,1
211,梦幻,1
212,大风,1
213,说实话,1
214,希望,1
215,上海,1
216,强就行,1
217,玩完,1
218,第一,1
219,压力,1
220,测试,1
221,价格,1
222,优势,1
223,乘坐,1
224,直达,1
225,真不错,1
226,周边,1
227,餐饮,1
228,真心,1
229,老妈,1
230,一个半,1
231,全玩,1
232,大酒店,1
233,距离,1
234,发现,1
235,人不多,1
236,干脆,1
237,三个,1
238,演出,1
239,哈利,1
240,周五,1
241,好评,1
242,小雨,1
243,风景,1
244,导览,1
245,过后,1
246,心念,1
247,惦记,1
248,没到,1
249,国家,1
250,日刚,1
251,太大,1
252,日首,1
253,中秋节,1
254,心得,1
255,慢悠,1
256,多人,1
257,参观,1
258,一大早,1
259,赶紧,1
260,速度,1
261,出票,1
262,太赞,1
263,踩点,1
264,新加坡,1
265,腿脚,1
266,不好,1
267,手术,1
268,队伍,1
269,一大堆,1
270,特别,1
271,外面,1
272,检票,1
273,哈迷,1
274,必去,1
275,生活,1
276,敷衍,1
277,仙女,1
278,邀约,1
279,平时,1
280,提升,1
281,票价,1
282,期待值,1
283,不太,1
