评论内容,评论时间,评论人等级,评论类型
这才是中国动画的真谛，借动画之手弘扬中国文化才是中国动画人未来该做的,2016-09-05 19:25:38,6,评论
这周边感觉比手办有意义,2016-09-05 19:28:47,5,回复
顶一下？腾讯这次是开了一个先河了。,2016-09-05 19:45:55,6,回复
回复 @云间来客无字书:我也觉得比手办有意义～,2016-09-06 00:00:37,6,回复
再来一楼1.50元 刻纸窗花2.79 泥塑一对3.119 团扇一个4.139 疆绣笔记本5.399 余杭油纸伞一个6.459  皮影注明一下：所有东西都已狐妖为原型创作。意义是帮助传承传统的老工匠增加订单，帮助生活????(=・ω・=),2016-09-05 20:00:38,6,评论
果然皮影是最贵的。不知道我潮州皮影合不合得上这东西。,2016-09-05 20:03:27,6,回复
回复 @痂茧:可以私信企鹅娘，说不定真的会去,2016-09-05 20:15:04,6,回复
原来那不是小数点啊，我说怎么那么便宜_(:3」∠)_,2016-09-05 20:20:01,5,回复
传统跟上时代才能得到新生！！！(⌒▽⌒),2016-09-05 19:17:25,5,评论
顶！顶！d=====(￣▽￣*)b,2016-09-05 19:21:29,6,回复
+1(=・ω・=),2016-09-05 19:22:39,4,回复
银行维护捐不了（/TДT)/,2016-09-05 23:39:18,6,回复
贴吧上有人发了帖子，结果楼下有人说腾讯又圈钱了，还把腾讯公益和郭美美事件比较，我在此科普一下（不是洗白，实事求是）：1.今年9月1日新慈善法施行，规定网络募捐只能到民政部指定的网站进行，这些网站是提供一个募捐平台，但是却不能从捐款中抽取管理费。而腾讯公益就是首批指定网站之一（可登陆民政部网站查询验证，就在通知公告栏第一条），所以腾讯公益是值得信任的，马化腾家大业大，不可能连管理费都付不起;2.按照规定，无论你捐多少钱，你都有权知道捐款***什么，所以不用担心捐款流向问题;3.腾讯公益做了这么多年都没出什么丑闻，说明执行力还是可靠的（好吧，这个站不住脚）。||||总之这个活动还是值得鼓励的，不管捐多少都弘扬优秀传统文化，多捐又不亏，何乐而不为呢？（￣▽￣）,2016-09-06 14:47:20,5,评论
顺便说一句，QQ钱包和微信钱包都可以找到腾讯公益，找到后进去，单打一个“二次元”就能找到这个活动。,2016-09-06 14:51:28,5,回复
马云买了20多家媒体还有新浪微博这种马云的干儿子专门负责攻击竞争对手，明眼人都看在眼里,2016-09-08 22:46:35,5,回复
回复 @赤井辉子 :舆论上腾讯确实被搞臭了，实际上论圈钱马云的阿里巴巴和腾讯半斤八两只不过媒体都支持马云引导了舆论罢了,2016-09-09 09:59:18,6,回复
这种周边比手办有意义多了，我不买手办了，我要买这个，跪求别太贵啊,2016-09-05 19:49:54,5,评论
可以去QQ钱包里面，有个腾讯公益，里面可以捐款，相当于买了，你可以去看看,2016-09-05 19:51:40,6,回复
我看了一下腾讯公益，最便宜的50刻纸窗花，最贵的459皮影，我最喜欢的刺绣和油纸伞，一个139，一个399。,2016-09-05 19:53:50,5,回复
回复 @云间来客无字书 :刺绣是笔记本，按理说刺绣应该是最花时间的，所以成本最高，应该是只刺绣一两幅然后照片做本子封面，不然太便宜,2016-09-05 21:15:24,6,回复
企鹅娘，能看到我吗，还有糖人和糖画这两个非物质文化遗产也是可以做手办的，看到的麻烦把我顶上去,2016-09-06 13:02:32,4,评论
容易在化路上化了或碎了吧……,2016-09-06 13:56:12,5,回复
回复 @削子铅:糖画自然是得真空包装，而糖人，则密封于充满惰性气体的透明罐中,2016-09-06 21:33:57,4,回复
回复 @白雾小鸦我想舔冰糖心的糖模,2016-09-06 21:37:15,4,回复
这个就该直接让b站放首页啊！别怕别人胡言乱语，这个和手办鼠标垫海报一比，不晓得高到哪里去了！这才是文化产业真正要做的传承与创新啊！@腾讯动漫  @9bishi,2016-09-06 01:18:50,6,评论
我也觉得b站可以做个好事，放首页推广一波～不过如果不放首页也正常～这个如果放首页，争议会比较大也是事实～,2016-09-06 02:02:04,6,回复
回复 @入梦落樱满薰香:什么叫b做好事，tx作为大股东要求b做个首页宣传，拿钱办事，有何不可,2016-09-06 06:55:37,6,回复
萌二长点脑子(°∀°)ﾉtxdm跟逼战实质还是竞争关系,2016-09-06 12:36:49,6,回复
点击qq钱包，里面的公益活动，再点其它活动，里面就有二次元公益项目，点击捐款，当捐款数目不少于50元时就会弹出收货地址这些信息(°∀°)ﾉ(°∀°)ﾉ(°∀°)ﾉ哎嗨复制下明白人小伙伴的科普~,2016-09-07 09:27:05,6,评论
活捉企鹅娘,2016-09-07 13:39:20,6,回复
企鹅娘竟然还在，声音可萌了,2016-09-07 13:44:53,6,回复
大师球，活捉(=・ω・=)(=・ω・=)(=・ω・=),2016-09-07 13:51:44,6,回复
诸位，前面那位“大幽谷”所说的话请仔细斟酌，腾讯公司底下的腾讯游戏和腾讯动漫是不同的两家子公司，就算腾讯在游戏方面做得不怎么样，但是在动漫方面，腾讯真的有花了很多钱，要知道拍一集动画成本要几十万的（即使腾讯是拿我们玩家的钱来拍动画，我也认了，***腾讯怎么拍？）而大幽谷那位先生说腾讯花钱请水军的言论简直可笑，腾讯公司家大业大，会在乎这次区区筹款的一百万？还得为这次的筹款活动花钱请水军，请水军也得花一大笔钱吧？光是王者荣耀那个游戏一区的玩家充的钱都不止一百万，腾讯这次做的活动真的是完善我们国漫产业链，同时还能保护好我们的传统非物质性文化遗产，何乐而不为呢？公民是有言论自由权，但是请别乱用，请各位有自己的主见，不要被带节奏咯(=・ω・=)(=・ω・=)(=・ω・=),2016-09-08 18:12:37,6,评论
“大幽谷”的言论在506楼,2016-09-10 13:23:13,6,回复
再来一楼1.  50元 刻纸窗花2·  79 泥塑一对3.  119 团扇一个4.  139 疆绣笔记本5.  399 余杭油纸伞一个6.  459 皮影注明一下：所有东西都已狐妖为原型创作。意义是帮助传承传统的老工匠增加订单，帮助生活????(=・ω・=),2016-09-05 20:09:16,6,评论
两天筹到快五万了，一百万的目标应该可以。这个点子真是好，希望这些传统文化永远流传，别让这些老艺人在一辈子坚持的梦想里输给现实饭都吃不饱。。也希望这次是个好的开始，传统文化已经在现代快节奏中流失了好多，最后抱走企鹅娘。。又萌又有爱。。另外视频简介有链接直达捐款得周边地址。。,2016-09-07 13:53:00,6,评论
我来科普点开QQ钱包，打开腾讯公益，刚开始的页面是找不到的，拉到最底下就可以看到分类，点开其他公益，稍微一拉，就可以看到关于二次元的那个，点进去后就可以看到，,2016-09-05 19:56:33,6,评论
卧槽，这创意满分！这种结合既有新意又有深意，既能扩大狐妖影响力又给传统的技艺注入新鲜血液，合作双赢。我特么也来越喜欢腾讯了，肿么办(￣3￣),2016-09-05 20:50:20,6,评论
这样的周边可没办法盗版,2016-09-06 11:02:35,5,评论
这些可是纯手工的(=・ω・=)除非另一位大师盗版,2016-09-06 12:34:01,4,回复
淘宝可以生产劣质货(;¬_¬),2016-09-09 10:01:07,6,回复
腾讯不错，低调干实事，还支持中国动漫。不像某云天天演讲灌鸡汤搞政商关系，天天耀武扬威的。喜欢腾讯的低调,2016-09-06 13:57:30,5,评论
我也觉得！,2016-09-06 14:10:00,6,回复
我没笑，真的，╮(￣▽￣)╭还有赞的12个,2016-09-06 22:27:32,6,回复
闷声( ´_ゝ｀),2016-09-08 14:47:07,6,回复
希望更多的伙伴能大胆的买，不要怕被嘲笑，当买的人多了这种看似out的行为就会成为一种时尚时髦(很多我看不惯的崇洋媚外的行为就是这样慢慢发展起来的),2016-09-06 13:26:23,6,评论
鉴于大家捐款后不清楚一些东西，我再来科普一下我去查询了mqxy2016这个不存在于是我去查询了妈妈制造V爱的微信公众号他的***是wdmq2016我的猜想是应该是腾讯相关人员弄错了.还有在这里在说明这个微信公众号客服服务时间9.00到晚上5.30如果大家捐款后不知道该怎么办可以试试去这个***。记得很重要的一件事情，一定要截图，那里有要求，一定要看仔细，要不就真的是纯捐款了，大家都想做好事，还可以拿到东西，所以一定要仔细。,2016-09-06 10:55:03,6,评论
妈妈制造v爱的***管用的吗？,2016-09-06 11:17:52,6,回复
回复 @等候在轮回的路口:这里再来一楼，妈妈制造V爱官方回复好的，我们已经进行了修改，但是后台更改正在审核中，所以可能有一个时间的延迟性，如果您有朋友进行了捐款，您可以告诉他我们的公众号，这里留言一样可以的。感谢您的意见与支持！,2016-09-06 11:20:21,6,回复
