PM2.5(微克每立方米),PM10(微克每立方米),SO2(微克每立方米),NO2(微克每立方米),CO(毫克每立方米),O3(微克每立方米),U(m/s),V(m/s),TEMP(K),RH(%),PSFC(Pa),lat,lon, 
21.09,23.08,2.42,1.05,0.21,106.14,-1.71,5.37,272,99.97,64882.76,29.14,94.64, 
18.89,20.67,2.2,0.71,0.2,102.47,-0.71,2.41,274.27,99.54,69097.86,29.15,94.8, 
16.14,17.85,2,0.55,0.19,94.88,1,0.4,281.87,72.81,78662.84,29.16,94.95, 
15.21,16.94,2.08,0.47,0.2,98.95,1.78,-1.58,284.24,66.08,81902.12,29.18,95.11, 
15.65,17.25,1.95,0.67,0.19,99.31,1.5,0.31,280.58,77.62,76877.55,29.19,95.26, 
16.29,17.78,1.82,0.81,0.19,101.98,-2,3.97,275.4,83.12,68555.49,29.2,95.42, 
16.06,17.34,1.85,0.68,0.18,105.05,-5.13,5.92,270.51,95.01,63228.36,29.21,95.57, 
14.67,15.82,1.68,0.68,0.17,102.37,-4.2,4.28,269.94,98.62,63409.65,29.23,95.73, 
13.77,14.98,1.5,0.81,0.17,101.47,-2.81,3.81,270.8,98,64655.55,29.24,95.88, 
12.84,13.85,1.44,0.92,0.17,102.08,-2.92,4.28,269.19,96.14,62333.47,29.25,96.04, 
11.98,12.96,1.31,0.94,0.16,102.88,-4.41,4,266.97,93.12,60235.73,29.26,96.19, 
10.88,11.89,1.17,0.76,0.16,103.95,-5.45,3.9,267.41,84.45,60574.24,29.27,96.35, 
9.23,10.02,1.01,0.51,0.14,100.66,-3.31,4.12,263.95,88.37,55880.7,29.28,96.5, 
8.27,9.04,0.84,0.19,0.13,96.67,1.35,6.1,258.59,91.82,49568.27,29.29,96.66, 
7.91,8.55,0.86,0.17,0.13,99.14,6.3,6.22,258.34,80.98,48616.62,29.3,96.81, 
8.33,8.92,0.88,0.2,0.13,94.75,5.94,3.36,262.72,65.29,51890.77,29.31,96.97, 
9.88,10.66,1.04,0.33,0.15,95.52,0.05,3.93,266.28,75.29,58108.34,29.32,97.12, 
10.39,11.11,1.2,0.32,0.16,104.07,-2.28,8.24,267.08,91.74,61609.28,29.33,97.28, 
8.61,9.16,1.05,0.24,0.15,102.82,0.26,10.13,267.61,83.42,60721.54,29.34,97.43, 
8.29,8.95,0.96,0.24,0.14,100.41,4.78,9.77,268.2,68.62,59126.7,29.35,97.59, 
8.05,8.77,0.94,0.24,0.14,101.54,4.93,4.4,271.51,55.04,61202.05,29.36,97.75, 
8.16,8.96,0.95,0.26,0.15,102.07,0.43,0.8,273.51,52.01,64032.71,29.37,97.9, 
8.21,8.99,0.89,0.22,0.14,99.91,1.13,3.54,268.31,68.55,59293.54,29.38,98.06, 
8,8.76,0.87,0.18,0.14,99.36,6.47,5.3,265.96,74.19,56537.8,29.39,98.21, 
7.76,8.5,0.86,0.19,0.14,99.19,7.96,4.34,271.47,51.01,60392.84,29.4,98.37, 
8.25,9.01,0.87,0.34,0.15,94.5,3.74,1.89,273.92,47.51,63168.68,29.41,98.52, 
9.15,9.98,0.93,0.42,0.15,92.77,0.85,1.88,272.42,55.53,62343.02,29.42,98.68, 
9.73,10.61,0.98,0.41,0.15,93.42,0.18,3.59,271.61,62.64,61903.61,29.42,98.83, 
10.4,11.34,1.07,0.51,0.16,93.07,-1.15,3.87,271.61,69.63,62411.4,29.43,98.99, 
11.06,12.05,1.14,0.65,0.16,93,-0.83,3.35,270.05,80.2,61473.18,29.44,99.15, 
11.5,12.52,1.18,0.66,0.16,91.8,1.11,4.07,268.86,86.09,60630.83,29.45,99.3, 
11.79,12.82,1.21,0.72,0.17,91.35,2.7,4.96,268.36,86.7,60101.13,29.45,99.46, 
11.79,12.8,1.21,0.73,0.17,91.54,3.94,4.23,267.85,87.55,59460.58,29.46,99.61, 
11.74,12.76,1.2,0.69,0.17,91.92,4.56,4.06,268.34,85.29,59707.89,29.47,99.77, 
11.63,12.63,1.2,0.66,0.16,92.36,4.3,3.31,268.35,86.28,59884.24,29.47,99.93, 
11.51,12.49,1.19,0.7,0.16,92.7,4.87,3.31,267.25,88.78,58788.78,29.48,100.08, 
11.08,12.03,1.16,0.63,0.16,93.66,6.63,4.13,267.19,85.55,58273.68,29.49,100.24, 
10.67,11.6,1.14,0.55,0.16,95.28,7.64,3.55,269.26,72.46,59434.61,29.49,100.39, 
10.44,11.37,1.11,0.57,0.16,95.08,6.16,1.32,270.93,65.69,60660.34,29.5,100.55, 
10.54,11.48,1.1,0.56,0.16,94.74,4.22,0.2,270.47,70.22,60624.81,29.5,100.71, 
10.73,11.67,1.11,0.47,0.16,94.02,3.62,1.08,269.66,77.29,60120.27,29.51,100.86, 
11.12,12.08,1.18,0.45,0.16,92.98,3.08,2.36,270.3,78.74,60998.05,29.51,101.02, 
11.63,12.6,1.41,0.57,0.17,93.32,2.06,2.35,271.86,74.16,62788.71,29.52,101.17, 
13.04,14.11,1.81,0.78,0.18,94.18,1.89,3.2,271.64,74.95,62537,29.52,101.33, 
18.41,19.99,3.39,0.78,0.2,92.29,1.92,3.55,269.33,86.08,60213.06,29.53,101.49, 
25.39,27.64,6.11,0.79,0.23,89.62,0.64,1.99,267.52,93.29,59044.6,29.53,101.64, 
27.88,30.35,7.15,0.81,0.24,86.87,-0.41,-0.23,266.98,92.71,59264.28,29.54,101.8, 
39.48,42.66,11.18,1.42,0.29,82.41,-1.42,-0.82,270.36,97.45,64835.45,29.54,101.95, 
56.23,60.71,16.97,2.36,0.38,96.49,-1.05,-1.03,276.29,94.35,74214.27,29.54,102.11, 
57.52,63.53,17.26,2.54,0.4,96.47,-0.84,-1.72,277.83,95.01,76293.53,29.55,102.27, 
57.54,65.17,16.07,2.85,0.4,97.91,-1.74,-2.2,278.98,93.05,77998.73,29.55,102.42, 
59.71,69.64,15.7,3.91,0.43,95.2,-1.54,-2.03,281.6,86.64,82138.12,29.55,102.58, 
63.03,73.42,16.62,4.52,0.44,91.68,-1.3,-1.52,279.81,93.9,79819.03,29.56,102.73, 
64.53,74.93,17.15,4.96,0.44,87.17,-1.46,-1.43,278.36,98.57,77451.55,29.56,102.89, 
63.73,74.23,17.46,5.45,0.43,86.01,-1.43,-0.91,279.96,94.76,79853.2,29.56,103.05, 
63.5,75.56,18.56,7.52,0.45,84.12,-0.69,-0.34,282.23,87.58,83052.37,29.57,103.2, 
62.09,75.76,19.63,9.83,0.47,84.15,0.42,-0.92,286.03,73.71,87832.44,29.57,103.36, 
61.18,77.56,20.74,15.14,0.5,79.72,1.09,-1.7,290.85,59.55,94238.17,29.57,103.52, 
62.49,81.45,22.25,19.42,0.54,76.34,1.04,-1.89,292.75,55.92,97027.75,29.57,103.67, 
64.58,84.66,23.91,20.45,0.55,73.97,0.88,-1.96,292.37,57.47,96716.09,29.57,103.83, 
63.01,81,23.49,16.88,0.54,75.32,0.46,-1.78,292.35,57.06,96646.83,29.57,103.98, 
60.48,75.89,23.33,13.68,0.52,77.36,-0.28,-1.53,291.84,58.21,96031.28,29.58,104.14, 
64.46,80.62,24.24,14.5,0.53,74.66,-0.56,-1.96,290.71,62.11,94745.89,29.58,104.3, 
66.42,83.83,24.5,15.53,0.56,72.57,-0.35,-2.47,290.41,63.84,94387.97,29.58,104.45, 
65.37,84.24,23.55,16.11,0.59,71.87,-0.42,-2.52,290.96,62.8,95001.32,29.58,104.61, 
63.72,83.02,19.76,14.41,0.62,71.55,-0.6,-2.39,291.58,61.95,95828.3,29.58,104.77, 
61.69,80.3,18.71,13.81,0.66,70.92,-0.76,-1.87,292.2,61.36,96752.09,29.58,104.92, 
63.13,81.38,22.35,16.81,0.69,66.53,-1.1,-1.22,292.53,62.08,97471.17,29.58,105.08, 
63.1,77.73,21.17,13.25,0.67,68.46,-1.48,-0.61,292.45,63.9,97594.23,29.58,105.23, 
63.61,75.26,21.07,11.22,0.66,68.5,-1.76,-0.12,292.06,66.2,97235.38,29.58,105.39, 
63.96,73.76,22.74,11.2,0.65,67.93,-1.76,0.27,291.81,67.29,96975.2,29.58,105.55, 
64.51,73.35,26.29,12.04,0.66,66.37,-1.82,0.8,291.77,67.27,96999.1,29.58,105.7, 
65.76,74.22,30.65,13.24,0.67,64.63,-1.85,1.42,291.58,67.58,97001.35,29.58,105.86, 
65.7,74.69,33.63,14.35,0.68,62.84,-1.58,1.8,291.45,67.35,96988.83,29.57,106.02, 
67.14,80.52,40.11,18.37,0.73,56.41,-1.23,2.05,291.4,67.06,97076.49,29.57,106.17, 
69.99,90.85,51.34,24.68,0.82,46.59,-0.88,2.43,291.66,66.61,97716.38,29.57,106.33, 
70.42,93.96,55.96,27.94,0.88,42.39,-0.84,2.47,291.81,66.49,98241.09,29.57,106.48, 
70.89,93.13,54.82,26.74,0.88,43.75,-1.11,2.71,291.47,67.71,98056.76,29.57,106.64, 
63.5,70.71,30.83,11.09,0.74,65.37,-1.84,2.7,291.14,67.6,97312.91,29.57,106.8, 
61.67,66.33,26.38,8.61,0.69,69.62,-2.58,2.84,290.38,69.17,96036.2,29.56,106.95, 
59.85,63.69,24.67,7.71,0.64,72.38,-2.82,2.94,289.81,69.75,95115.66,29.56,107.11, 
59.4,65,30.09,10.07,0.62,71.33,-3.08,2.79,289.33,69.55,94335.41,29.56,107.27, 
58.57,63.42,28.66,8.79,0.58,72.24,-3.17,2.16,288.63,70.21,93248.01,29.55,107.42, 
57.28,59.76,19.91,4.52,0.51,78.93,-3.1,1.01,286.07,77.13,89404.03,29.55,107.58, 
59.58,62.68,17.08,4.17,0.49,75.06,-2.54,0.09,283.33,87.12,85909.71,29.55,107.73, 
60.07,63.69,16.64,4.01,0.48,74.39,-1.57,-0.11,284.11,86.97,87709.43,29.54,107.89, 
61.91,66.43,18.5,3.99,0.49,75.7,-1.02,-0.26,285.41,84.69,90003.13,29.54,108.05, 
64.43,70.03,19.7,4.78,0.48,74.92,-0.76,-0.19,286.08,83.03,90995.91,29.54,108.2, 
66.58,72.95,20.6,5.28,0.49,74.34,-0.39,-0.06,286.66,81.45,92061.34,29.53,108.36, 
69.66,76.71,22.17,6.06,0.48,73.21,-0.38,0.52,286.63,81.24,92138.42,29.53,108.51, 
73.34,80.46,26.54,6.85,0.51,70.93,-0.59,0.91,286.64,81.74,92716.55,29.52,108.67, 
75.51,82.92,29.49,7.33,0.52,70.35,-0.47,1.12,286.4,83.2,92823.88,29.52,108.83, 
74.95,82.29,27.08,6.02,0.51,73.25,-0.38,1.51,285.99,84.2,91592.2,29.51,108.98, 
75.75,83.12,24.19,5.2,0.51,74.82,-0.19,1.1,286.41,83.21,92043.05,29.51,109.14, 
77.23,84.84,24.18,5.61,0.53,75.53,-0.36,0.96,287.76,79.48,94170.34,29.5,109.29, 
75.78,83.11,22.81,4.96,0.51,76.96,-0.91,0.87,287.45,80.27,93682.91,29.5,109.45, 
73.85,80.78,21.04,4.08,0.48,78.19,-0.57,0.37,286.1,83.81,91325.38,29.49,109.61, 
72.61,79.32,20.05,3.85,0.47,77.42,0.46,-0.41,286.54,82.62,92001.02,29.49,109.76, 
71.38,78.12,20.38,3.85,0.47,77.77,0.85,-0.36,288.24,77.99,94617.02,29.48,109.92, 
72.22,79.23,22.52,4.79,0.48,77.66,0.82,-0.46,288.88,77.2,95975.11,29.47,110.07, 
73.57,80.8,22.78,4.9,0.49,79.07,1,-0.9,288.66,77.61,95552.12,29.47,110.23, 
74.4,81.74,22.53,4.84,0.49,79.48,1.57,-1.23,288.22,78.09,94616.72,29.46,110.39, 
72.27,79.6,23.03,4.59,0.49,81.68,1.83,-1.3,289.03,74.41,95289.3,29.45,110.54, 
73.54,81.06,23.13,4.96,0.49,81.43,1.71,-1.38,289.81,70.82,96149.02,29.45,110.7, 
75.16,82.92,23.64,5.54,0.5,82.15,1.88,-1.11,289.94,69.44,95905.34,29.44,110.85, 
74.34,82.36,24.74,6.53,0.51,82.84,1.69,-1.31,291.18,64.14,97361.13,29.43,111.01, 
77.87,85.82,26.72,8.34,0.54,83.79,1.1,-1.34,292.27,60.64,99276.16,29.42,111.17, 
83.57,92.16,29.06,11.43,0.6,80.08,0.59,-1.02,292.59,59.38,99743.59,29.42,111.32, 
89.09,99.38,31.12,13.67,0.66,76.48,0.43,-0.83,292.96,57.93,100417.98,29.41,111.48, 
96.89,108.41,32.47,15.6,0.76,73.99,0.47,-0.76,292.97,58.3,100874.38,29.4,111.63, 
93.22,104.4,28.22,13.42,0.75,76.21,0.53,-0.68,292.83,59.48,101004.7,29.39,111.79, 
86.3,95.98,23.84,12.89,0.73,76.03,0.45,-0.32,292.89,60.66,101255.26,29.38,111.94, 
85.42,93.53,22.22,13.9,0.73,73.81,-0.05,0.69,292.96,61.45,101281.25,29.37,112.1, 
86.49,93.57,21.16,15.19,0.73,72.33,-0.27,1.77,293.04,62.49,101213.52,29.36,112.25, 
85.23,92.3,19.08,16.37,0.72,70.09,-0.64,2.66,293.14,63.34,101217.52,29.35,112.41, 
82.5,90.12,15.48,15.45,0.68,70.68,-0.61,2.92,293.24,64.26,101281.62,29.34,112.57, 
77.24,84.7,13.85,14.02,0.66,69.83,-0.56,2.57,292.95,63.85,101353.9,29.33,112.72, 
75.18,82.46,13.59,14.36,0.67,69.76,-0.6,2.58,292.89,64.01,101394.61,29.32,112.88, 
83.95,91.69,16.42,23.51,0.76,59.24,-0.37,2.34,292.48,62.83,101301.69,29.31,113.03, 
86.39,93.8,15.56,23.39,0.78,57.97,-0.85,2.28,292.32,64.82,101099.48,29.3,113.19, 
84.5,90.49,13.42,18.02,0.73,62.29,-1.19,2.15,291.66,66.96,100238.35,29.29,113.34, 
84.87,89.94,12.52,15.09,0.71,65.17,-0.7,1.62,290.37,71.74,98556.69,29.28,113.5, 
86.06,89.99,12.03,12.95,0.7,67.12,0.2,1.08,289.9,74.38,98365.3,29.27,113.65, 
88.53,91.92,12.37,13.02,0.72,67.95,-0.09,1.14,290.59,72.99,99644.7,29.26,113.81, 
85.37,88.74,11.78,11.19,0.69,70.52,-1,1.21,290.41,72.02,98637.52,29.25,113.96, 
83.44,87.41,11.47,9.6,0.67,73.44,-0.91,0.77,288.8,76.47,96014.83,29.24,114.12, 
85.03,90.06,11.84,10.25,0.68,73.47,-0.74,-0.07,288.17,79.53,95705.27,29.23,114.27, 
85.1,91.36,12.08,10.72,0.68,73.02,-1.1,-0.54,288.47,79.81,97001.65,29.21,114.43, 
82.78,90.35,12.48,11.13,0.68,73.19,-0.97,-1.02,288.6,80.06,98044.05,29.2,114.58, 
75.85,84.14,12.51,9.44,0.64,75.46,-0.61,-0.74,288.97,79.18,98872.02,29.19,114.74, 
69.61,78.61,12.57,8.71,0.61,76.85,-0.6,-0.09,289.28,77.5,98603.57,29.18,114.89, 
65.72,75.6,12.76,8.67,0.6,76.94,-0.71,0.09,288.62,79.87,97431.85,29.16,115.05, 
62.35,73.14,12.93,9.11,0.6,77.33,-0.85,-0.29,288.25,81.19,97445.86,29.15,115.2, 
59.83,71.67,12.81,10.14,0.6,74.44,-1.04,-0.64,288.14,81.72,97529.91,29.14,115.36, 
59.73,73.42,13.08,12.47,0.63,67.69,-1.16,-0.7,287.84,84.36,97594.83,29.13,115.51, 
56.6,70.75,12.85,13.9,0.63,61.97,-1.12,-1.24,288.59,83.46,100046.12,29.11,115.67, 
53.33,66.71,12.52,14.09,0.61,59.94,-1.73,-0.9,289.3,81.89,101456.55,29.1,115.82, 
51.5,63.83,11.22,12.42,0.57,59.7,-2.91,-0.19,289.2,82.83,101619.84,29.08,115.98, 
49.74,61.83,9.47,10.3,0.53,61.42,-3.64,-0.06,288.57,85.72,101591.27,29.07,116.13, 
49.33,60.34,9.64,10.76,0.53,59.96,-3.85,0.01,288.75,84.18,101636.05,29.06,116.29, 
49.1,59.14,10.07,11.81,0.52,57.67,-3.76,0.16,288.92,82.63,101684,29.04,116.44, 
48.07,56.49,10.53,12.54,0.52,54.4,-3.78,0.45,289.18,80.34,101601.73,29.03,116.6, 
46.27,54.41,10.5,12.9,0.5,54.87,-4.18,0.45,289.16,79.95,101571.78,29.01,116.75, 
44.96,52.93,10.75,12.97,0.48,55.44,-4.63,0.07,288.92,80.05,101437.03,29,116.9, 
47.35,56.43,11.31,14.11,0.48,55.24,-4.73,-0.62,288.65,80.1,101350.33,28.98,117.06, 
48.82,58.61,10.31,14.03,0.46,56.38,-4.21,-1.35,288.45,80.02,101219.67,28.97,117.21, 
52.38,63.45,9.87,14.94,0.45,58.01,-3.08,-1.83,288.27,80.02,100865.94,28.95,117.37, 
55.14,68.36,11.53,16.66,0.45,58.62,-2.06,-1.48,288.67,77.91,101069.1,28.93,117.52, 
59.19,81.19,16.84,17.8,0.48,59.87,-2.59,0.97,289.02,75.24,100385.86,28.92,117.67, 
63.2,93.65,20.74,18.22,0.49,60.95,-3.27,2.19,287.14,79.64,96896.12,28.9,117.83, 
70.37,110.21,26.6,21.84,0.56,57.68,-2.71,1.19,285.03,85.38,94564.9,28.89,117.98, 
72.27,113.53,28.71,25.4,0.59,56.31,-2.33,-0.79,284.74,86.1,96411.6,28.87,118.14, 
77.87,124.19,33.87,31.62,0.67,53.17,-2.62,-2.05,285.63,82.87,99065.3,28.85,118.29, 
81.5,130.76,40.12,37.39,0.73,50.94,-3.26,-2.38,285.99,80.99,100120.95,28.83,118.44, 
83.48,133.96,46.13,42.7,0.77,49.23,-3.3,-2.68,286.11,79.56,100292.62,28.82,118.6, 
82.76,132.16,48.34,45.08,0.79,49.65,-2.79,-2.01,286.43,76.6,99949.98,28.8,118.75, 
72.88,112.48,38.45,38.25,0.73,55.36,-2.59,0.24,286.11,74.44,97430.59,28.78,118.91, 
61.12,89.53,26.38,29.61,0.65,64.56,-2.41,2.61,285.06,75.83,94963.91,28.76,119.06, 
61.39,88.84,25.29,29.54,0.64,64.85,-2.58,2.98,284.91,76.12,95396.58,28.75,119.21, 
61.76,88.23,23.78,29.08,0.63,65.91,-2.32,3.16,284.38,77.39,94317.49,28.73,119.37, 
59.15,82.92,19.66,26.65,0.6,67.8,-1.17,3.17,283.93,79.57,93904.62,28.71,119.52, 
55.03,76.68,16.73,24.57,0.57,71.74,-1.03,3.03,285.07,76.9,96630.19,28.69,119.67, 
53.86,74.79,15.86,24.46,0.56,73.78,-1.19,3.12,285.3,76.62,96912.7,28.67,119.83, 
52.52,72.84,15.03,26.17,0.56,72.44,-0.71,2.64,285.63,74.78,96747.91,28.65,119.98, 
48.49,66.98,13.02,25.75,0.54,71.52,-1.3,2.04,286.42,71.55,97065.7,28.63,120.13, 
44.45,61.29,11.49,27.04,0.5,71.1,-2.89,3.45,285.51,74.28,95218.77,28.62,120.29, 
46.97,65.12,11.46,31.27,0.51,67.16,-3.25,4.11,283.93,82.62,94711.12,28.6,120.44, 
44.98,63.05,11.11,32.18,0.49,68.87,-3.05,2.85,283.98,85,95841.58,28.58,120.59, 
43.15,60.63,9.55,29.21,0.48,69.52,-3.59,1.85,283.67,87.3,95547.91,28.56,120.74, 
44.31,62.71,9.06,28.24,0.48,67.64,-2.88,0,283.1,92.84,95900.08,28.54,120.9, 
51.59,75.6,11.47,35.45,0.57,65.92,-0.99,-1.5,283.81,94.88,98638.95,28.52,121.05, 
68.28,107.31,19.08,53.88,0.73,58.82,-0.08,-2.28,284.54,93.1,100655.68,28.5,121.2, 
63.98,100.6,18.35,51.15,0.69,63.61,-0.05,-2.55,284.87,92.9,101337.09,28.47,121.36, 
31.81,47.42,6.48,18.3,0.36,85.84,-0.69,-3.65,285.66,92.95,101824.05,28.45,121.51, 
15.24,22.57,2,2.27,0.22,104.46,-1.71,-4.45,286.31,93.22,101877.28,28.43,121.66, 
10.79,11.9,1.25,0.74,0.16,96.23,4.36,2.65,266.47,77.94,56359.75,28.2,85.88, 
10.56,11.68,1.22,0.64,0.16,99.27,3.25,3.35,266.53,77.94,56678.17,28.23,86.03, 
9.66,10.68,1.11,0.5,0.16,100.61,4.23,2.22,263.54,83.57,53796.49,28.25,86.19, 
9.22,10.12,1.01,0.46,0.15,97.4,7.01,2.64,260.62,89.17,51457.27,28.27,86.34, 
8.82,9.73,1,0.42,0.15,94.91,9.37,4.53,261.84,80.06,52222.8,28.3,86.49, 
8.46,9.28,0.94,0.38,0.14,95.76,10.91,3.98,264.05,65.16,53405.43,28.32,86.64, 
7.95,8.71,0.88,0.34,0.14,96.82,11,1.02,266.82,52.39,55269.86,28.35,86.79, 
7.39,8.09,0.8,0.33,0.14,96.58,9.22,-0.96,269.71,44.66,57728.02,28.37,86.94, 
7.17,7.83,0.75,0.31,0.14,96.61,8.99,-2.1,267.48,51.9,56366.37,28.39,87.1, 
6.92,7.55,0.72,0.29,0.14,97.3,10.37,-2.1,266.02,56.49,55145.34,28.41,87.25, 
6.46,7.05,0.67,0.29,0.14,97.52,9.77,0.17,269.41,47.83,57863.43,28.44,87.4, 
6.15,6.73,0.64,0.32,0.14,97.76,8.97,0.6,270.74,45.42,59145.87,28.46,87.55, 
6.01,6.58,0.62,0.34,0.14,97.89,9.57,-0.18,270.75,45.98,59207.3,28.48,87.71, 
5.91,6.47,0.6,0.38,0.14,97.41,9.04,-0.33,271.41,45.1,59762.23,28.5,87.86, 
5.87,6.44,0.59,0.37,0.14,97.9,7.95,-0.02,270.61,47.34,59263.44,28.52,88.01, 
5.82,6.39,0.58,0.33,0.14,99.13,8.17,-2.21,268.27,53.54,57447.55,28.55,88.16, 
5.63,6.17,0.57,0.26,0.13,101.49,10.16,-2.49,265.61,59.24,55058.8,28.57,88.32, 
5.49,6,0.56,0.24,0.13,102.27,12.2,-0.73,265.8,55.74,54813.4,28.59,88.47, 
5.35,5.85,0.56,0.22,0.13,103.58,12.03,1.69,267.04,50.79,55465.2,28.61,88.62, 
5.29,5.8,0.56,0.21,0.13,104.17,11.9,2.65,266.38,53.55,54810.25,28.63,88.77, 
5.19,5.69,0.55,0.21,0.13,104.8,12.42,1.82,267.12,51.14,55150.53,28.65,88.93, 
5.07,5.54,0.54,0.23,0.13,105.37,11.61,0.6,268.3,46.82,55859.68,28.67,89.08, 
5.01,5.48,0.53,0.23,0.13,105.7,10.37,0.77,267.88,47.35,55388.27,28.69,89.23, 
4.96,5.44,0.52,0.24,0.13,105.66,9.78,1.8,267.9,46.86,55247.23,28.71,89.39, 
4.88,5.36,0.52,0.26,0.13,105.28,9.43,2.41,268.99,43.9,55957.14,28.73,89.54, 
4.76,5.23,0.5,0.29,0.13,104.33,9.23,1.88,270.45,40.17,57119.37,28.75,89.69, 
4.69,5.17,0.5,0.3,0.13,104.28,7.9,1.55,271.03,39.24,57622.1,28.77,89.85, 
4.7,5.18,0.51,0.28,0.13,102.12,7.96,2.36,268.36,46.46,55860.43,28.79,90, 
4.68,5.13,0.49,0.25,0.13,103.08,11.76,2.16,263.79,66.28,52302.09,28.81,90.15, 
4.66,5.19,0.5,0.26,0.13,102.34,15.79,1.48,263.83,56.3,52574.88,28.83,90.31, 
4.08,6.8,0.43,0.23,0.13,107.68,16.38,1.65,272.95,58.55,57202.85,28.84,90.46, 
3.94,6.83,0.44,0.26,0.14,106.49,10.75,1.05,275.62,56.03,58941.52,28.86,90.61, 
4.97,8.75,0.52,0.46,0.16,102.56,4.42,1.64,271.29,64.59,58195.91,28.88,90.77, 
6.7,9.79,0.73,0.5,0.18,103.1,2.6,4.15,270.19,64.14,58004.38,28.9,90.92, 
7.81,11.01,0.9,0.58,0.2,103.62,3.37,5.76,269.54,64.68,57748.91,28.92,91.07, 
8.17,11.31,0.95,0.55,0.21,104.01,5.05,5.81,268.12,69.27,56630.73,28.93,91.23, 
8.24,11.02,0.94,0.51,0.2,102.89,6.22,5.4,267.31,70.16,55729.75,28.95,91.38, 
8.26,10.5,0.93,0.51,0.19,101.98,6.27,6.18,269.7,59.68,57431.04,28.97,91.54, 
8.03,9.69,0.91,0.45,0.17,100.27,5.54,7.39,272.97,48.72,60101.37,28.99,91.69, 
7.7,8.92,0.85,0.37,0.16,101.88,5.95,6.68,271.44,51.43,58544.64,29,91.84, 
7.54,8.5,0.8,0.34,0.15,102.4,6.8,5.05,268.81,59.25,56168.58,29.02,92, 
7.31,8.18,0.76,0.33,0.14,102.28,6.57,3.51,269.93,57.82,57242.66,29.04,92.15, 
7.17,8,0.73,0.34,0.14,100.89,5.5,2.61,270.81,56.78,58092.99,29.05,92.31, 
6.59,7.38,0.66,0.51,0.14,97.68,2.61,0.8,273.08,53.99,60287.32,29.07,92.46, 
6.79,7.63,0.71,0.69,0.15,96.39,0.24,0.05,275.42,50.77,62805.67,29.08,92.62, 
9.42,10.47,0.92,0.58,0.16,95.6,0.15,1.15,274.26,53.44,61633.05,29.1,92.77, 
14.42,15.84,1.32,0.72,0.18,99.07,-0.84,2.42,271.49,67.38,59597.78,29.12,92.92, 
17.97,19.66,1.65,0.83,0.2,99.69,-1.91,2.42,270.64,77.65,60056.9,29.13,93.08, 
19.24,21.07,1.83,0.73,0.2,100.66,-0.75,3.71,270.78,80.85,60601.97,29.15,93.23, 
19.47,21.26,1.9,0.6,0.2,102.99,0.31,5.99,271.1,78.63,60711.21,29.16,93.39, 
20.28,22.25,1.95,0.58,0.21,104.14,-1.02,7.34,272.24,72.38,61581.22,29.18,93.54, 
22.3,24.51,2.15,0.64,0.22,104.6,-1.03,7.2,269.84,88.84,60393.09,29.19,93.7, 
24.46,26.86,2.31,0.99,0.23,103.9,0.55,6.87,269.7,90.67,60441.99,29.2,93.85, 
25.64,28.02,2.43,1.68,0.23,102.49,-0.97,6.13,271.49,84.93,62464.3,29.22,94.01, 
25.72,28.07,2.47,1.61,0.23,103.67,-2.2,5.03,271.15,95.48,63748.7,29.23,94.16, 
24.19,26.39,2.52,1.26,0.23,105.39,-1.49,5.44,271.32,97.74,64483.47,29.25,94.32, 
22.17,24.25,2.44,0.98,0.22,107.18,-1.1,7.77,271.43,95.68,63971.89,29.26,94.47, 
20.59,22.56,2.33,0.78,0.21,106.18,-2.27,7.56,270.76,95.84,62510.68,29.27,94.63, 
19.07,20.89,2.22,0.56,0.2,100.54,-2.62,6.12,269.93,99.81,62233.07,29.29,94.78, 
17.47,19.17,1.94,0.45,0.19,99.34,-0.86,4.33,272.54,99.76,66251.65,29.3,94.94, 
15.53,17.17,1.97,0.35,0.18,101.8,1.42,1.64,278.33,79.58,73425.49,29.31,95.09, 
14.63,16.28,2,0.36,0.19,101.56,2.63,0.61,282.36,67.2,78855.87,29.32,95.25, 
14.5,15.96,1.74,0.5,0.18,99.72,2.06,0.32,279.99,72.94,75973.98,29.34,95.4, 
15.09,16.36,1.67,0.64,0.18,101.18,-1.04,4.48,273.77,85.7,66728.66,29.35,95.56, 
14.35,15.41,1.68,0.57,0.18,104.4,-3.95,7.2,269.75,90.13,61950.73,29.36,95.71, 
13.46,14.44,1.51,0.67,0.17,102.46,-3.37,7.28,268.17,94.99,60786.12,29.37,95.87, 
12.56,13.57,1.29,0.95,0.17,100.62,-3.1,7.65,266.41,95.43,59098.89,29.38,96.02, 
11.62,12.68,1.26,0.85,0.16,102.3,-4.53,6.62,266.3,91.82,59265.62,29.4,96.18, 
10.61,11.61,1.17,0.81,0.15,100.13,-4.68,8.31,265.36,87.35,57655.12,29.41,96.33, 
9.06,9.8,0.9,0.61,0.14,98.97,-0.42,9.71,261.52,91.31,52871.1,29.42,96.49, 
7.87,8.42,0.85,0.25,0.13,100.7,3.81,8.76,261.74,75.95,51865.97,29.43,96.64, 
7.82,8.48,0.82,0.24,0.13,99.5,5.34,6.37,262.59,64.9,51940.11,29.44,96.8, 
8.25,8.92,0.86,0.28,0.13,91.92,4.2,2.43,262.63,70.09,52125.29,29.45,96.96, 
9.24,9.97,0.96,0.35,0.14,92.35,1.32,2.99,265.68,77.62,57344.41,29.46,97.11, 
