标题,时长,点赞,投币,收藏,转发,播放量,弹幕量,评论数,评论oid
非遗翻花，十八般变,0:88,3.5万,307,3422,409,227941,121,288,549890828
《西出阳关》三分钟听非遗！不要再说听不懂南音啦，全程没有一句词,3:13,923,343,475,131,17453,40,37,252566948
烟台非遗,0:39,7390,82,451,78,97560,73,307,207936664
小小的她努力不让老祖宗留下来的非遗手艺失传...,0:33,4.2万,103,1091,21,261750,79,174,465909335
非遗苏绣的金鱼你们见过吗？,0:57,1.1万,89,1194,134,61658,102,163,252638917
【缠花-桂花教程】非遗 不用废手，新手也能做的桂花,13:26,2277,477,6340,307,132291,253,187,64110045
【非遗故事】今天来看看非遗传承人收藏100多年的老物件,1:39,992,3,105,3,7757,4,12,679154728
有些传统文化快要丢失了，我希望在娱乐之余，能花几秒钟看下非遗文化，不仅仅是在糕点。,0:22,10.8万,905,7498,126,1893815,226,1581,248657299
汉婚那些惊艳的非遗伴手礼,0:88,4616,5,385,16,26723,14,82,978031157
【非遗里的纹样（最终篇）】请把我定格在纹样里，定格在京剧服饰中,4:94,591,126,305,26,3667,16,35,424329124
“愿有岁月可回首，且以深情共白头”—记那些不要被遗忘的非遗,1:78,1.3万,705,3446,434,186716,267,276,288922659
《潮汕营老爷》非遗活动，mental canvas制作，素材原创,1:83,3941,2019,1300,374,39853,156,226,978651673
非遗翻花，十八般变,0:88,3.5万,307,3422,409,227941,121,288,549890828
《西出阳关》三分钟听非遗！不要再说听不懂南音啦，全程没有一句词,3:13,923,343,475,131,17453,40,37,252566948
烟台非遗,0:39,7390,82,451,78,97560,73,307,207936664
小小的她努力不让老祖宗留下来的非遗手艺失传...,0:33,4.2万,103,1091,21,261750,79,174,465909335
非遗苏绣的金鱼你们见过吗？,0:57,1.1万,89,1194,134,61658,102,163,252638917
善巧方便传非遗,1:20,859,79,24,分享,6962,5,30,339681437
这就是中国文化的魅力！点赞非遗！,0:95,4.9万,1326,5944,267,484735,258,397,631042840
8岁女孩编织金属丝，传承非遗技艺，吸粉700万,0:97,1.3万,48,301,22,95451,26,37,681419327
年轻人正在对“非遗”上头,3:46,311,19,31,10,23079,39,16,936714657
【掐丝珐琅画】传统非遗手工艺，九凤安排一下,2:50,2188,544,586,33,23922,46,121,932720506
珐琅到底是什么？你的珐琅是真的吗？还有多少人打着非遗的旗号骗人！？,9:85,2338,120,380,41,26733,61,119,380692713
贵州女孩杨柳：凭一根竹竿水上跳舞，非遗绝技火到国外！,3:23,8488,367,387,67,57831,106,132,338123234
两个多月做出来的清代漳绒氅衣，验收一下成果吧，真的太富贵太好看了，顺便普及一下非遗面料漳绒缎的特点,3:86,43,2,3,分享,426,0,3,767217553
非遗技艺复刻博物馆级文物-花树状金步摇,5:89,1.2万,2966,2193,396,129846,364,301,804997717
【非遗&岩彩】30天，用宝石在纯金上画狐狸,16:25,2174,727,615,101,42027,100,54,504179459
网红魔改中国非遗“黄梅戏”，成功引起央视的注意！想红想疯了？,5:75,9302,722,2608,84,377090,957,833,633118474
【腾讯动漫】非遗传统文化：与二次元的一次缘,1:50,116,2060,2048,753,52855,384,1554,6169277
这才是属于我们中国人的审美！！！非物质文化遗产换新计划正式上线，感受非遗之美,2:05,4651,144,482,29,32622,33,63,893467415
艾特你喜欢的那个人看非遗打铁花吧,0:28,4.2万,4403,1.4万,1.9万,818854,2876,3600,893266870
有时候我们手艺人不需要太多的利，只希望越来越多的人知道我们中国还有皮雕这项非遗,0:40,8002,65,302,18,264866,22,121,204319613
中国非遗通草花，真到不可思议，可惜会做的人没几个了,2:43,2302,16,431,21,17026,15,64,380953142
【非遗.花丝镶嵌.香囊】开局一根丝 全靠编（bu shi),4:68,530,111,151,7,4273,15,35,979193398
【非遗传承/青少年影响力】工匠们的非遗？每个人的非遗！,3:90,559,37,346,230,1408,2,5,936845705
甘肃非遗传承人教你剪纸老虎啦#甘肃非遗# #甘肃非遗传承人#,3:01,1327,157,649,92,12192,64,81,253305505
“南海工匠”带货非遗！传统工艺卖出百万销售额,6:12,6340,152,213,75,31068,66,56,627494648
【北京冬奥会】我国非遗：虎头帽,2:70,823,48,119,14,12802,16,38,211277599
【非遗】她为传承砖瓦工艺奉献青春！曾与瓦灵结缘的少女长大了。,6:63,2.5万,1424,4546,122,183811,293,150,338003336
【2021小宇宙计划】《兔毫》| 失传600年的国家非遗——建盏技艺修复的缘起与传承,6:40,4352,1459,2340,182,38306,19,147,675482588
从手艺到守艺|泥塑里的关中记忆|非遗传承故事,3:97,15,14,7,6,64,2,7,297186781
人大代表回应“小鹿帽”走红：不是鹿角是狍子，已列入非遗,0:41,9.1万,1446,5424,2839,1271429,844,1440,289599683
《姚建萍苏绣》非遗苏绣的魅力就在于绣出的作品能逼真的每一个细节，真正的让动植物活起来。,1:07,3.1万,3994,3670,737,268671,661,448,251033756
【潮宏基】打开CHJ臻宝首饰博物馆的大门，感受非遗花丝镶嵌工艺之美！,2:88,6023,1762,953,214,41740,165,184,380304291
【缂丝】用非遗工艺织一幅鬼灭之刃,5:52,4.2万,2.8万,6519,518,640742,556,852,332479809
中国几百年历史的非遗玩具，琉璃不对儿，玩过的人今年得40岁以上,8:69,3494,235,529,203,71730,212,475,714339424
中国非遗手艺，用面粉捏古风美人，外国总统看了都喜欢！,2:37,2834,77,254,27,18038,16,29,551464757
【非遗故事】今天来看看非遗传承人收藏100多年的老物件,1:39,992,3,105,3,7757,4,12,679154728
有些传统文化快要丢失了，我希望在娱乐之余，能花几秒钟看下非遗文化，不仅仅是在糕点。,0:22,10.8万,905,7498,126,1893815,226,1581,248657299
【缠花-桂花教程】非遗 不用废手，新手也能做的桂花,13:26,2277,477,6340,307,132291,253,187,64110045
汉婚那些惊艳的非遗伴手礼,0:88,4616,5,385,16,26723,14,82,978031157
“愿有岁月可回首，且以深情共白头”—记那些不要被遗忘的非遗,1:78,1.3万,705,3446,434,186716,267,276,288922659
【非遗里的纹样（最终篇）】请把我定格在纹样里，定格在京剧服饰中,4:94,591,126,305,26,3667,16,35,424329124
《西出阳关》三分钟听非遗！不要再说听不懂南音啦，全程没有一句词,3:13,923,343,475,131,17453,40,37,252566948
《潮汕营老爷》非遗活动，mental canvas制作，素材原创,1:83,3941,2019,1300,374,39853,156,226,978651673
非遗翻花，十八般变,0:88,3.5万,307,3422,409,227941,121,288,549890828
烟台非遗,0:39,7390,82,451,78,97560,73,307,207936664
小小的她努力不让老祖宗留下来的非遗手艺失传...,0:33,4.2万,103,1091,21,261750,79,174,465909335
非遗苏绣的金鱼你们见过吗？,0:57,1.1万,89,1194,134,61658,102,163,252638917
善巧方便传非遗,1:20,859,79,24,分享,6977,5,30,339681437
这就是中国文化的魅力！点赞非遗！,0:95,4.9万,1326,5944,267,484735,258,397,631042840
8岁女孩编织金属丝，传承非遗技艺，吸粉700万,0:97,1.3万,48,301,22,95456,26,37,681419327
年轻人正在对“非遗”上头,3:46,311,19,31,10,23079,39,16,936714657
【掐丝珐琅画】传统非遗手工艺，九凤安排一下,2:50,2188,544,586,33,23922,46,121,932720506
